id;url;method;clientIp;statusCode;allowed;cacheHit;matchedRuleId;responseTimeMs;requestedAt
12;https://ya.ru/;GET;127.0.0.1;403;false;false;;0;2026-04-13T17:54:23Z
11;https://ru.dotabuff.com/heroes/undying/guides;GET;127.0.0.1;403;true;false;4;213;2026-04-13T17:53:34Z
10;https://ru.dotabuff.com/heroes/undying/guides;GET;127.0.0.1;403;true;false;4;391;2026-04-13T17:53:15Z
9;https://ru.dotabuff.com/heroes/undying/guides;GET;127.0.0.1;403;true;false;4;197;2026-04-13T17:16:49Z
8;https://www.google.com/?hl=RU;GET;127.0.0.1;403;false;false;;0;2026-04-13T17:16:39Z
7;https://www.google.com/?hl=RU;GET;127.0.0.1;403;false;false;;0;2026-04-13T13:30:07Z
6;https://www.google.com/?hl=RU;GET;127.0.0.1;403;false;false;;0;2026-04-13T13:29:57Z
5;https://example.com/123;GET;127.0.0.1;404;true;false;2;205;2026-04-13T13:27:08Z
4;https://example.com;GET;127.0.0.1;200;true;false;2;297;2026-04-13T13:26:52Z
3;https://www.google.com/?hl=RU;GET;127.0.0.1;200;true;true;2;4;2026-04-13T12:55:14Z
2;https://www.google.com/?hl=RU;GET;127.0.0.1;200;true;true;2;4;2026-04-13T12:53:39Z
1;https://www.google.com/?hl=RU;GET;127.0.0.1;200;true;false;2;355;2026-04-13T12:53:28Z
